Taxon_Name	Rank	Rank_Name	Rank_Priority	NCBI_TaxID	Confidence	Priority	Description	In_Both	In_RVDB	In_NCBI	RVDB_Reads_Direct	RVDB_Reads_Total	RVDB_Percent	NCBI_Reads_Direct	NCBI_Reads_Total	NCBI_Percent	Max_Direct_Reads	Max_Percent	Avg_Percent
Chrocagost virus	S	Species	8	3129398	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	5306	5306	0.21	0	0	0.0	5306	0.21	0.21
Sichuan tescho-like virus 1	S	Species	8	2933258	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	5009	5009	0.2	0	0	0.0	5009	0.2	0.2
Ripaflad virus	S	Species	8	3130546	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	4912	4912	0.19	0	0	0.0	4912	0.19	0.19
Changping Tick Virus 1	S	Species	8	1608043	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	4790	4790	0.19	0	0	0.0	4790	0.19	0.19
Xinjiang alphaflexivirus 2	S	Species	8	2824438	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	4145	4145	0.16	0	0	0.0	4145	0.16	0.16
Ripishep virus	S	Species	8	3130928	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	4096	4096	0.16	0	0	0.0	4096	0.16	0.16
Ripathuj virus	S	Species	8	3131458	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3984	3984	0.16	0	0	0.0	3984	0.16	0.16
Chrocadirk virus	S	Species	8	3129419	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3972	3972	0.16	0	0	0.0	3972	0.16	0.16
Ripagliz virus	S	Species	8	3130681	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3411	3411	0.13	0	0	0.0	3411	0.13	0.13
Ripothus virus	S	Species	8	3131351	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3323	3323	0.13	0	0	0.0	3323	0.13	0.13
Ripapog virus	S	Species	8	3130955	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3314	3314	0.13	0	0	0.0	3314	0.13	0.13
Chrocavyrb virus	S	Species	8	3129683	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3114	3114	0.12	0	0	0.0	3114	0.12	0.12
Sopatryb virus	S	Species	8	3131620	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2729	2729	0.11	0	0	0.0	2729	0.11	0.11
Sicinivirus sp.	S	Species	8	1930506	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2676	2676	0.1	0	0	0.0	2676	0.1	0.1
Ripastyr virus	S	Species	8	3131364	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2257	2257	0.09	0	0	0.0	2257	0.09	0.09
Ripakrev virus	S	Species	8	3130833	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2168	2168	0.08	0	0	0.0	2168	0.08	0.08
Sapovirus sp.	S	Species	8	1906670	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1953	1953	0.08	0	0	0.0	1953	0.08	0.08
High Island virus	S	Species	8	2109376	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1941	1941	0.08	0	0	0.0	1941	0.08	0.08
Chrocasosc virus	S	Species	8	3129659	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1918	1918	0.08	0	0	0.0	1918	0.08	0.08
Chronabalt virus	S	Species	8	3129710	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1844	1844	0.07	0	0	0.0	1844	0.07	0.07
Ripiglaq virus	S	Species	8	3130859	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1806	1806	0.07	0	0	0.0	1806	0.07	0.07
Bat astrovirus	S	Species	8	1697918	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1804	1804	0.07	0	0	0.0	1804	0.07	0.07
Ripokey virus	S	Species	8	3130967	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1740	1740	0.07	0	0	0.0	1740	0.07	0.07
Ripaflyv virus	S	Species	8	3130583	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1684	1684	0.07	0	0	0.0	1684	0.07	0.07
Chrocabarb virus	S	Species	8	3129305	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1604	1604	0.06	0	0	0.0	1604	0.06	0.06
Ripasluq virus	S	Species	8	3131229	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1504	1504	0.06	0	0	0.0	1504	0.06	0.06
Sichuan mamastrovirus 8	S	Species	8	2933226	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1288	1288	0.05	0	0	0.0	1288	0.05	0.05
Alfamovirus AMV	S	Species	8	12321	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1275	1275	0.05	0	0	0.0	1275	0.05	0.05
Ripaflec virus	S	Species	8	3130560	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1268	1268	0.05	0	0	0.0	1268	0.05	0.05
Sopatuq virus	S	Species	8	3131685	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1189	1189	0.05	0	0	0.0	1189	0.05	0.05
Chrocarylt virus	S	Species	8	3129545	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1096	1096	0.04	0	0	0.0	1096	0.04	0.04
Sopamon virus	S	Species	8	3131721	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1036	1036	0.04	0	0	0.0	1036	0.04	0.04
Hipposideros jonesi jeilongvirus 1	S	Species	8	3400616	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1030	1030	0.04	0	0	0.0	1030	0.04	0.04
Chrocaburb virus	S	Species	8	3129338	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1013	1013	0.04	0	0	0.0	1013	0.04	0.04
Sopafab virus	S	Species	8	3131770	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	993	993	0.04	0	0	0.0	993	0.04	0.04
Ripagrog virus	S	Species	8	3130723	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	968	968	0.04	0	0	0.0	968	0.04	0.04
Ripabiq virus	S	Species	8	3130194	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	951	951	0.04	0	0	0.0	951	0.04	0.04
Chronacard virus	S	Species	8	3129783	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	944	944	0.04	0	0	0.0	944	0.04	0.04
Partitiviridae sp.	S	Species	8	1955170	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	912	912	0.04	0	0	0.0	912	0.04	0.04
Ripigleb virus	S	Species	8	3130924	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	886	886	0.03	0	0	0.0	886	0.03	0.03
Ripachad virus	S	Species	8	3130373	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	877	877	0.03	0	0	0.0	877	0.03	0.03
Chicken picobirnavirus	S	Species	8	1930304	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	875	875	0.03	0	0	0.0	875	0.03	0.03
Sopazak virus	S	Species	8	3131671	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	816	816	0.03	0	0	0.0	816	0.03	0.03
Chrocaturd virus	S	Species	8	3129638	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	757	757	0.03	0	0	0.0	757	0.03	0.03
Ripagryb virus	S	Species	8	3130702	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	755	755	0.03	0	0	0.0	755	0.03	0.03
Ripablas virus	S	Species	8	3130199	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	741	741	0.03	0	0	0.0	741	0.03	0.03
Ripothip virus	S	Species	8	3131327	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	721	721	0.03	0	0	0.0	721	0.03	0.03
Chronilont virus	S	Species	8	3129882	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	666	666	0.03	0	0	0.0	666	0.03	0.03
Sopozig virus	S	Species	8	3131662	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	648	648	0.03	0	0	0.0	648	0.03	0.03
Ripabeq virus	S	Species	8	3130193	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	636	636	0.02	0	0	0.0	636	0.02	0.02
Flumine luteo-like virus 3	S	Species	8	2941089	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	634	634	0.02	0	0	0.0	634	0.02	0.02
Hainan picobirnavirus 19	S	Species	8	2933227	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	603	603	0.02	0	0	0.0	603	0.02	0.02
Ripakrum virus	S	Species	8	3130852	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	578	578	0.02	0	0	0.0	578	0.02	0.02
Sopatrul virus	S	Species	8	3131609	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	569	569	0.02	0	0	0.0	569	0.02	0.02
Ripapyds virus	S	Species	8	3130042	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	546	546	0.02	0	0	0.0	546	0.02	0.02
Sopazov virus	S	Species	8	3131687	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	527	527	0.02	0	0	0.0	527	0.02	0.02
Chronidysk virus	S	Species	8	3129873	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	429	429	0.02	0	0	0.0	429	0.02	0.02
Ripanysc virus	S	Species	8	3130028	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	426	426	0.02	0	0	0.0	426	0.02	0.02
Chrocadyns virus	S	Species	8	3129426	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	412	412	0.02	0	0	0.0	412	0.02	0.02
Ripaprog virus	S	Species	8	3131032	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	407	407	0.02	0	0	0.0	407	0.02	0.02
Picobirnaviridae sp.	S	Species	8	2809674	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	401	401	0.02	0	0	0.0	401	0.02	0.02
Sopigom virus	S	Species	8	3131633	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	400	400	0.02	0	0	0.0	400	0.02	0.02
Ripahest virus	S	Species	8	3131454	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	378	378	0.01	0	0	0.0	378	0.01	0.01
Erysiphe necator mitovirus 1	S	Species	8	2052561	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	358	358	0.01	0	0	0.0	358	0.01	0.01
Ripaflaq virus	S	Species	8	3130555	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	335	335	0.01	0	0	0.0	335	0.01	0.01
Narnavirus sp.	S	Species	8	2587225	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	315	315	0.01	0	0	0.0	315	0.01	0.01
Sonafor virus	S	Species	8	3131557	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	311	311	0.01	0	0	0.0	311	0.01	0.01
Ditton virus	S	Species	8	2170587	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	289	289	0.01	0	0	0.0	289	0.01	0.01
Anativirus sp.	S	Species	8	2809150	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	288	288	0.01	0	0	0.0	288	0.01	0.01
Sichuan sapelo-like virus 1	S	Species	8	2933255	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	286	286	0.01	0	0	0.0	286	0.01	0.01
Hubei farmland noda-like virus	S	Species	8	2824620	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	255	255	0.01	0	0	0.0	255	0.01	0.01
Ripocynd virus	S	Species	8	3130384	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	232	232	0.01	0	0	0.0	232	0.01	0.01
Ripogryp virus	S	Species	8	3130806	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	221	221	0.01	0	0	0.0	221	0.01	0.01
Ripazant virus	S	Species	8	3130007	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	199	199	0.01	0	0	0.0	199	0.01	0.01
Ripathel virus	S	Species	8	3131427	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	198	198	0.01	0	0	0.0	198	0.01	0.01
Tolivirales sp.	S	Species	8	2809914	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	196	196	0.01	0	0	0.0	196	0.01	0.01
Ripastib virus	S	Species	8	3131312	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	189	189	0.01	0	0	0.0	189	0.01	0.01
Ripipist virus	S	Species	8	3130442	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	174	174	0.01	0	0	0.0	174	0.01	0.01
Ripakir virus	S	Species	8	3130693	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	174	174	0.01	0	0	0.0	174	0.01	0.01
Ripojast virus	S	Species	8	3130879	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	174	174	0.01	0	0	0.0	174	0.01	0.01
Ripanun virus	S	Species	8	3129993	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	164	164	0.01	0	0	0.0	164	0.01	0.01
Xinjiang mamastrovirus 1	S	Species	8	2920431	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	156	156	0.01	0	0	0.0	156	0.01	0.01
Chrocacyrn virus	S	Species	8	3129354	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	155	155	0.01	0	0	0.0	155	0.01	0.01
Sichuan mamastrovirus 11	S	Species	8	2933222	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	152	152	0.01	0	0	0.0	152	0.01	0.01
Sonafoz virus	S	Species	8	3131559	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	144	144	0.01	0	0	0.0	144	0.01	0.01
Picornavirales sp.	S	Species	8	1955153	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	141	141	0.01	0	0	0.0	141	0.01	0.01
Hybomys planifrons jeilongvirus	S	Species	8	3400619	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	141	141	0.01	0	0	0.0	141	0.01	0.01
Sopapal virus	S	Species	8	3131818	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	135	135	0.01	0	0	0.0	135	0.01	0.01
White spot syndrome virus	S	Species	8	342409	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	126	126	0.0	0	0	0.0	126	0.0	0.0
Chrocarord virus	S	Species	8	3129644	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	115	115	0.0	0	0	0.0	115	0.0	0.0
Picornaviridae sp.	S	Species	8	1530251	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	107	107	0.0	0	0	0.0	107	0.0	0.0
Pithovirus LCPAC101	S	Species	8	2506586	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	107	107	0.0	0	0	0.0	107	0.0	0.0
Bat aichivirus	S	Species	8	3071093	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	105	105	0.0	0	0	0.0	105	0.0	0.0
Ripastaq virus	S	Species	8	3131268	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	101	101	0.0	0	0	0.0	101	0.0	0.0
Lymantria dispar multiple nucleopolyhedrovirus	S1	Subspecies	9	10449	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	66287	66287	2.6	0	0	0.0	66287	2.6	2.6
ssRNA phage SRR5466369_2	S1	Subspecies	9	2786405	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	23595	23595	0.92	23595	0.92	0.92
Felid alphaherpesvirus 1	S1	Subspecies	9	10334	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	21093	21093	0.83	0	0	0.0	21093	0.83	0.83
ssRNA phage SRR5466337_3	S1	Subspecies	9	2786389	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	9426	9426	0.37	9426	0.37	0.37
Streptomyces phage Omar	S1	Subspecies	9	2059882	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	3690	3690	0.14	3690	0.14	0.14
Mamastrovirus 3	S1	Subspecies	9	1239567	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	3013	3013	0.12	0	0	0.0	3013	0.12	0.12
Aphis citricidus bunyavirus	S1	Subspecies	9	2599343	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	2454	2454	0.1	2454	0.1	0.1
Langya virus	S1	Subspecies	9	2971765	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2359	2359	0.09	0	0	0.0	2359	0.09	0.09
Semliki Forest virus	S1	Subspecies	9	11033	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1763	1763	0.07	0	0	0.0	1763	0.07	0.07
Influenza A virus	S1	Subspecies	9	11320	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1699	1701	0.07	0	0	0.0	1699	0.07	0.07
Enterobacteria phage P7	S1	Subspecies	9	10682	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	1274	1274	0.05	1274	0.05	0.05
macacine betaherpesvirus 3	S1	Subspecies	9	47929	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1165	1165	0.05	0	0	0.0	1165	0.05	0.05
Bovine kobuvirus	S1	Subspecies	9	1476554	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1092	1092	0.04	0	0	0.0	1092	0.04	0.04
avian paramyxovirus 1	S1	Subspecies	9	2560319	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	964	964	0.04	0	0	0.0	964	0.04	0.04
Lihan tick virus	S1	Subspecies	9	1608056	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	506	506	0.02	0	0	0.0	506	0.02	0.02
Serratia phage Muldoon	S1	Subspecies	9	2601678	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	485	485	0.02	485	0.02	0.02
Burkholderia phage Bp-AMP1	S1	Subspecies	9	1432428	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	470	470	0.02	470	0.02	0.02
chicken chapparvovirus HK	S1	Subspecies	9	2849623	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	407	407	0.02	407	0.02	0.02
